Id,First Name,Last Name,Stars,Position,Archetype,Overall,Height,Weight,School,Hometown,State,Carrying,Agility,Catching,Zone Coverage,Man Coverage,Football IQ,Kick Accuracy,Kick Power,Pass Block,Pass Rush,Punt Accuracy,Punt Power,Route Running,Run Block,Run Defense,Speed,Strength,Tackle,Throw Power,Throw Accuracy,Injury,Stamina,Discipline,Academic,Free Agency,Personality,Recruiting,Work Ethic,Progression,Potential,Year,
1148,Mike,Clark,3,DE,Balanced,42,76,279,The First Academy,Orlando,FL,18,38,18,13,15,34,10,3,10,43,3,7,14,9,40,54,38,51,17,17,61,54,39,Seeks out tutoring,Average,Reliable,Average,Average,65,B-,4
1389,Francis,Astudillo,3,RB,Power,34,72,230,West Mesquite,Mesquite,TX,39,32,21,16,19,29,5,2,35,10,7,8,9,4,2,58,34,15,13,11,39,33,52,Frequent visits to the principal,Average,Average,Average,Average,31,C-,4
1607,Darin,Howard,3,K,Accuracy,41,71,193,Seattle Prep,Seattle,WA,15,20,16,18,13,31,57,29,12,4,14,12,5,3,5,16,3,10,17,13,51,83,75,Borderline failing,Average,Average,Average,Average,64,A-,4
1664,Caleb,Madison,3,P,Accuracy,31,71,170,Steele Canyon,Spring Valley,CA,20,12,16,19,13,32,14,20,4,6,42,20,5,5,5,16,12,4,12,14,57,20,36,Average,Money motivated,Stoic,Average,Average,50,B-,4
2033,Chris,Quiroz,2,DT,Nose Tackle,35,75,311,Marshall,Oklahoma City,OK,14,18,9,11,11,23,12,7,6,19,7,5,5,2,42,18,44,44,13,9,79,28,65,Studious,Market-driven,Average,Average,Track Athlete,36,C,4
2665,Mario,Hale,2,FS,Run Stopper,40,71,211,Cherry Creek,Greenwood Village,CO,8,44,24,37,36,32,7,12,13,4,7,6,15,11,37,61,32,37,8,12,46,39,59,Average,Average,Average,Average,Average,87,A+,4
2817,Christian,Brown,2,TE,Blocking,31,76,261,Croswell-Lexington,Croswell,MI,25,25,25,9,14,27,6,6,43,15,3,6,14,38,9,43,53,11,13,6,79,45,48,Average,Money motivated,Average,Average,Average,45,C+,4
3465,Bijhon,Bucannon,2,SS,Run Stopper,32,72,205,Syracuse,Syracuse,UT,12,32,17,29,27,20,4,3,2,10,7,7,3,10,35,54,25,28,11,9,55,74,24,Average,Average,Abrasive,Average,Average,31,C-,4
2021,Marquis,Jefferson,2,DE,Run Stopper,33,75,294,Brunswick,Brunswick,MD,13,31,12,5,9,22,2,4,8,24,8,3,12,9,37,41,39,44,8,10,53,38,63,Average,Average,Average,Average,Average,41,C,4
2157,Nick,McRae,2,OG,Run Blocking,37,76,300,Washington County,Sandersville,GA,11,20,9,7,11,23,3,8,29,10,7,6,8,48,9,20,50,7,10,5,61,50,46,Average,Average,Average,Average,Gym Rat,48,B-,4
