Id,First Name,Last Name,Stars,Position,Archetype,Overall,Height,Weight,School,Hometown,State,Carrying,Agility,Catching,Zone Coverage,Man Coverage,Football IQ,Kick Accuracy,Kick Power,Pass Block,Pass Rush,Punt Accuracy,Punt Power,Route Running,Run Block,Run Defense,Speed,Strength,Tackle,Throw Power,Throw Accuracy,Injury,Stamina,Discipline,Academic,Free Agency,Personality,Recruiting,Work Ethic,Progression,Potential,Year,Team,Redshirt,JerseyNum
144,Joseph,Lee,4,C,Pass Blocking,45,76,276,Academy of Richmond County,Augusta,GA,18,33,23,20,18,35,15,8,52,18,13,11,16,41,9,25,60,18,16,23,53,59,37,Average,Average,Average,Prefers to play for a national championship contender,Average,48,C+,4,1,FALSE,
313,Joakim,Cron,4,P,Accuracy,36,71,189,Hays,Buda,TX,19,18,26,25,27,38,20,27,14,11,46,27,20,14,16,21,14,17,16,21,42,41,20,Average,Adversarial,Average,Average,Average,76,A-,4,1,FALSE,
179,Obi,Addae,4,OG,Pass Blocking,44,75,290,Pennington,Blountsville,AL,24,31,23,20,22,34,12,13,53,22,15,13,14,36,7,27,57,18,16,24,56,30,46,Average,Highest bidder,Average,Average,Average,44,C+,4,1,FALSE,
194,Eric,Steele,4,WR,Speed,46,72,194,Callaway,Hogansville,GA,33,44,43,21,19,36,13,11,12,13,10,15,36,21,15,77,30,17,18,22,30,66,66,Average,Average,Average,Average,Average,57,A-,4,1,FALSE,
595,Marcus,Pouncey,3,DE,Run Stopper,41,76,282,River Bluff,Lexington,SC,14,36,17,14,15,33,7,5,9,38,6,7,9,2,47,43,44,50,13,18,70,47,57,Average,Average,Average,Average,Average,58,B,4,1,FALSE,
685,Kyle,Dozier,3,DT,Balanced,39,76,305,Habersham Central,Mt. Airy,GA,15,36,21,21,19,31,7,5,6,35,10,10,9,2,37,27,49,42,17,12,44,66,56,Average,Average,Average,Average,Average,55,B+,4,1,FALSE,
772,Matt,Barcelo,3,TE,Vertical Threat,40,75,227,Sebastian River,Sebastian,FL,30,39,39,21,16,34,12,6,36,18,5,2,29,44,20,60,48,18,12,19,37,52,58,Average,Average,Stoic,Average,Average,52,B,4,1,FALSE,
854,Nick,Houser,3,CB,Zone Coverage,42,70,178,Bristow,Bristow,OK,11,47,11,54,39,28,5,8,3,8,8,10,10,10,14,57,21,23,19,14,40,32,14,Average,Average,Average,Average,Average,44,C,4,1,FALSE,
1186,Yonder,Meisinger,3,QB,Balanced,38,74,226,Birdville,North Richland Hills,TX,13,25,17,13,14,28,12,8,7,7,6,1,8,7,4,44,23,15,45,49,51,79,52,Average,Average,Average,Average,Average,35,C,4,1,FALSE,
1225,Malcolm,Jernigan,3,RB,Balanced,40,72,203,Hereford,Parkton,MD,33,37,36,14,20,31,7,6,34,10,2,4,6,7,4,69,31,20,13,17,6,99,35,Average,Average,Average,Prefers to play for a national championship contender,Average,55,B,4,1,FALSE,
